Experiment id,Run id,Fitness,Civilians Evacuated,Civilians Killed,Civilians Trapped,Attackers Alive,Police Alive,Mean Time,Median Time,Mean Steps,Median Steps,Avg.Dist.Exit,Avg.Dist.Attaker,Avg.Dist.Police
1,0,3.1051282051282054E-4,10,0,0,0,0,37.261538461538464,20.615384615384617,121.1,67.0,0.0,0.0,0.0
1,1,2.3025641025641025E-4,10,0,0,0,0,27.630769230769232,22.307692307692307,81.7,71.5,0.0,0.0,0.0
1,2,1.6076923076923077E-4,10,0,0,0,0,19.29230769230769,16.46153846153846,56.9,53.5,0.0,0.0,0.0
1,3,1.7307692307692307E-4,10,0,0,0,0,20.769230769230766,20.153846153846153,67.5,65.5,0.0,0.0,0.0
1,4,0.20423820879192456,8,0,2,0,0,25.03846153846154,21.384615384615387,76.125,56.5,71.58842039655227,0.0,0.0
1,5,1.7358974358974358E-4,10,0,0,0,0,20.83076923076923,9.53846153846154,67.0,31.0,0.0,0.0,0.0
1,6,1.371794871794872E-4,10,0,0,0,0,16.461538461538463,15.230769230769234,51.9,49.5,0.0,0.0,0.0
1,7,2.707692307692308E-4,10,0,0,0,0,32.4923076923077,23.384615384615387,100.0,68.0,0.0,0.0,0.0
1,8,1.3717948717948718E-4,10,0,0,0,0,16.46153846153846,16.923076923076927,46.6,54.0,0.0,0.0,0.0
1,9,2.1666666666666666E-4,10,0,0,0,0,26.0,23.384615384615387,84.5,76.0,0.0,0.0,0.0
1,10,1.6897435897435899E-4,10,0,0,0,0,20.276923076923076,18.153846153846153,65.8,59.0,0.0,0.0,0.0
1,11,2.902564102564103E-4,10,0,0,0,0,34.830769230769235,24.30769230769231,113.2,79.0,0.0,0.0,0.0
1,12,2.6000000000000003E-4,10,0,0,0,0,31.2,27.846153846153847,101.4,90.5,0.0,0.0,0.0
1,13,0.20445774450259196,8,0,2,0,0,24.42307692307692,20.615384615384617,79.25,67.0,75.5797631300201,0.0,0.0
1,14,0.10551440603952553,9,0,1,0,0,18.76923076923077,12.615384615384617,61.0,41.0,95.1892851112981,0.0,0.0
1,BEST,1.3717948717948718E-4,10,0,0,0,0,16.46153846153846,16.923076923076927,46.6,54.0,0.0,0.0,0.0
2,0,5.000144615384615,5,5,0,8,1,17.353846153846156,19.384615384615387,56.4,63.0,0.0,0.0,0.0
2,1,3.0001150183150185,7,3,0,9,0,13.802197802197801,8.307692307692308,44.857142857142854,27.0,0.0,0.0,0.0
2,2,5.000101025641025,5,5,0,8,1,12.123076923076923,6.461538461538462,37.0,15.0,0.0,0.0,0.0
2,3,2.0002657051282053,8,2,0,7,1,31.884615384615387,27.53846153846154,91.5,84.0,0.0,0.0,0.0
2,4,6.000105128205128,4,6,0,7,1,12.615384615384617,8.923076923076923,41.0,29.0,0.0,0.0,0.0
2,5,5.000126666666667,5,5,0,10,1,15.2,12.307692307692308,42.4,35.0,0.0,0.0,0.0
2,6,3.0001571428571427,7,3,0,8,2,18.857142857142858,19.384615384615387,61.285714285714285,63.0,0.0,0.0,0.0
2,7,7.102319460861086,2,7,1,8,1,8.153846153846153,8.153846153846153,26.5,26.5,40.0,22.80350850198276,69.05070600652827
2,8,6.000091666666667,4,6,0,9,1,11.0,10.0,35.75,32.5,0.0,0.0,0.0
2,9,3.0001564102564102,7,3,0,10,1,18.76923076923077,20.0,60.857142857142854,65.0,0.0,0.0,0.0
2,10,3.000179487179487,8,3,0,9,2,21.53846153846154,22.153846153846153,70.0,72.0,0.0,0.0,0.0
2,11,3.0001835164835167,7,3,0,9,0,22.021978021978022,20.0,60.285714285714285,63.0,0.0,0.0,0.0
2,12,4.000149572649573,6,4,0,9,0,17.94871794871795,18.30769230769231,53.5,59.0,0.0,0.0,0.0
2,13,5.000052307692307,5,5,0,9,2,6.276923076923078,5.230769230769231,20.4,17.0,0.0,0.0,0.0
2,14,3.0001410256410255,7,3,0,10,0,16.923076923076923,18.76923076923077,55.0,61.0,0.0,0.0,0.0
2,BEST,2.0002657051282053,8,2,0,7,1,31.884615384615387,27.53846153846154,91.5,84.0,0.0,0.0,0.0
